iter	Logloss
0	0.6884762412
1	0.679449964
2	0.6694140413
3	0.6641093291
4	0.6591969958
5	0.6526452268
6	0.6460873787
7	0.6365604037
8	0.629787479
9	0.6247620414110	0.6169372695111	0.6096615631212	0.6021683091313	0.5954684001414	0.5908580981515	0.5846023561616	0.5750885171717	0.5698872621818	0.56572502219	0.5655868699
20	0.561444004
21	0.5542732675
22	0.546039126
23	0.5426379434
24	0.5373849585
25	0.5320535332
26	0.5278534606
27	0.5237028817
28	0.5205651934
29	0.5163660184
30	0.5120955902
31	0.5093743153
32	0.5032824697
33	0.4857883137
34	0.4822549933
35	0.4893590727
36	0.4841024354
37	0.4780528138338	0.4744190781339	0.4704462349440	0.465933963
41	0.4633366412
42	0.4605188133
43	0.4564219132
44	0.4538780271
45	0.4279523855
46	0.4254265879
47	0.4207821473
48	0.4359257318
49	0.4316609246
50	0.4293335735
51	0.4273013683
52	0.4225984397
53	0.4168552266
54	0.4116544745
55	0.4051391725
56	0.401587202
557	0.381728884758	0.3869898628
59	0.3824258494
60	0.3780403243
61	0.3740722851
62	0.3700739855663	0.3638276363664	0.3593499578665	0.3557386585666	0.3525148776
67	0.3467351744668	0.3433006825669	0.340372527
70	0.3352325671
71	0.3311757501
72	0.326366232
73	0.3213974213
74	0.3165087816
75	0.3120980304
76	0.3088872501
77	0.305087018
78	0.2999555316
79	0.2948890078
880	0.2786512528181	0.2726322498282	0.269273305883	0.2641572194884	0.2609745056885	0.2556822981886	0.2508271254887	0.2472746108888	0.2427002348989	0.2386542659090	0.2351090019191	0.2324961109292	0.2273639779393	0.2236460439494	0.2195044219595	0.2168920969696	0.2133681549797	0.2096976409898	0.206577907
99	0.2030053439
2
